qp,nom_qp,reg,epci1,epci2,uu,disp_q1_A13,disp_q2_A13,disp_q3_A13,disp_q1q3q2_A13,disp_d1_A13,disp_d2_A13,disp_d3_A13,disp_d4_A13,disp_d6_A13,disp_d7_A13,disp_d8_A13,disp_d9_A13,disp_d1d9_A13,disp_gini_A13,disp_s80s20_A13,disp_pact_A13,disp_ppen_A13,disp_ppat_A13,disp_ppsoc_A13,disp_ppfam_A13,disp_ppmini_A13,disp_pplogt_A13,disp_pimpot_A13,QP,TP60_A13,PART_MONOP_A13,PART_MEN5_A13,PART_LOCAT_A13,PART_CHOMPRINC_A13,_merge,code_final
QP030012,La Moulinelle,76.0,243000585.0,,00456,9936.0,12353.0,16258.0,0.5,7638.0,9331.0,10393.0,11460.0,14060.0,15380.0,17064.0,19769.0,2.6,0.2,3.0,54.8,26.0,2.5,23.7,7.0,8.8,7.9,-7.0,QP030012,47.0,14.7,14.6,,,both,QP030012
QP030013,Centre Ville,76.0,243000585.0,,00456,8945.0,12577.0,16760.0,0.6,6487.0,8283.0,9551.0,10924.0,14145.0,15831.0,17890.0,21297.0,3.3,0.3,4.0,61.3,23.2,4.6,20.0,5.1,8.3,6.5,-9.1,QP030013,46.9,14.6,9.8,70.1,9.2,both,QP030013
QP030014,L'Ecusson,76.0,200035129.0,,30501,9651.0,12719.0,16952.0,0.6,7103.0,8796.0,10232.0,11308.0,14102.0,16156.0,18233.0,22403.0,3.2,0.3,3.9,39.4,42.9,7.2,19.3,3.4,9.4,6.6,-8.8,QP030014,44.4,16.5,,69.4,,both,QP030014
QP030015,Les Costières,76.0,243000593.0,,30302,9582.0,11989.0,15192.0,0.5,7480.0,8886.0,10056.0,10886.0,12974.0,14434.0,16006.0,18978.0,2.5,0.2,2.9,54.2,23.6,1.8,26.5,7.7,9.4,9.5,-6.1,QP030015,51.2,20.0,16.1,,10.8,both,QP030015
QP030016,Centre Ville - Arboux,76.0,243000551.0,,30213,9374.0,12657.0,16592.0,0.6,7471.0,8558.0,10208.0,11545.0,14119.0,15663.0,17687.0,20738.0,2.8,0.2,3.4,34.2,45.2,6.1,21.4,4.1,10.2,7.1,-6.9,QP030016,45.5,14.1,5.3,75.3,,both,QP030016
QP030017,Trescol - La Levade,76.0,243000551.0,,30213,8641.0,10676.0,15699.0,0.7,6605.0,8065.0,9142.0,9874.0,12436.0,14254.0,16335.0,18765.0,2.8,0.3,3.6,44.8,33.7,4.6,24.2,5.8,11.5,6.8,-7.3,QP030017,58.8,,12.4,63.6,,both,QP030017
QP030018,Quartier Prioritaire D'Uzès,76.0,200034379.0,,30301,10222.0,13644.0,18326.0,0.6,7783.0,9763.0,10924.0,12337.0,15030.0,17081.0,19671.0,23567.0,3.0,0.3,3.6,65.6,22.1,5.2,17.4,5.6,6.1,5.7,-10.3,QP030018,39.0,18.8,12.7,71.9,,both,QP030018
QP031001,Saint Jean,76.0,243100690.0,,31701,10732.0,13566.0,17252.0,0.5,8473.0,9853.0,11443.0,12633.0,14968.0,16522.0,18250.0,20938.0,2.5,0.2,2.9,62.5,22.0,3.1,20.7,5.9,6.7,8.0,-8.3,QP031001,35.0,22.7,8.5,89.4,8.0,both,QP031001
QP031002,Centre Ouest,76.0,243100690.0,,31701,10832.0,14704.0,19383.0,0.6,7606.0,9721.0,11890.0,13310.0,16147.0,17864.0,21224.0,26560.0,3.5,0.3,4.5,70.6,19.3,6.6,15.9,3.5,6.7,5.7,-12.4,QP031002,32.1,18.5,5.4,81.4,,both,QP031002
QP031003,Coeur De Ville,76.0,243100799.0,,31302,10219.0,14430.0,19987.0,0.7,7477.0,9161.0,11249.0,12732.0,16094.0,18511.0,21830.0,28856.0,3.9,0.3,4.8,52.2,33.7,9.8,16.4,2.1,8.1,6.1,-12.1,QP031003,34.9,14.1,,79.0,,both,QP031003
QP031004,Barradels,76.0,243100518.0,,31701,10369.0,13252.0,17617.0,0.5,8153.0,9739.0,10835.0,11904.0,14830.0,16487.0,18833.0,22810.0,2.8,0.2,3.3,67.0,18.1,3.3,20.8,6.3,7.0,7.5,-9.2,QP031004,41.7,25.9,9.2,,,both,QP031004
QP031005,Val D'Aran - Poitou - Pyrénées,76.0,243100518.0,,31701,10983.0,14703.0,19883.0,0.6,8066.0,10248.0,11617.0,13109.0,16424.0,18632.0,21232.0,24995.0,3.1,0.2,3.5,61.5,27.1,4.8,17.1,4.7,6.7,5.6,-10.5,QP031005,33.7,21.3,7.3,79.2,,both,QP031005
QP031006,Pradettes,76.0,243100518.0,,31701,9760.0,12997.0,16885.0,0.5,7379.0,9386.0,10356.0,11876.0,14672.0,15977.0,18337.0,22856.0,3.1,0.2,3.6,70.5,12.3,3.9,23.3,5.0,9.5,8.8,-10.0,QP031006,41.3,14.5,8.9,,,both,QP031006
QP031007,Grand Mirail,76.0,243100518.0,,31701,9530.0,12509.0,16338.0,0.5,7409.0,8921.0,10156.0,11376.0,13780.0,15332.0,17530.0,21360.0,2.9,0.2,3.5,55.8,22.4,4.3,25.8,7.3,10.1,8.4,-8.3,QP031007,46.4,15.7,15.2,81.2,8.6,both,QP031007
QP031008,Arènes,76.0,243100518.0,,31701,10931.0,15303.0,20665.0,0.6,7092.0,9441.0,11712.0,13710.0,16988.0,19146.0,22291.0,27339.0,3.9,0.3,4.9,77.7,17.2,4.9,13.3,3.3,4.8,5.3,-13.1,QP031008,32.2,12.9,6.2,73.2,,both,QP031008
QP031009,Bourbaki,76.0,243100518.0,,31701,10226.0,12882.0,16520.0,0.5,7781.0,9564.0,10791.0,11826.0,14494.0,15904.0,17331.0,20581.0,2.6,0.2,2.9,56.6,21.5,3.1,26.1,7.7,9.4,9.1,-7.3,QP031009,42.8,23.9,13.5,,,both,QP031009
QP031010,Empalot,76.0,243100518.0,,31701,9793.0,12942.0,16703.0,0.5,7445.0,9134.0,10420.0,11755.0,14328.0,15771.0,17833.0,21108.0,2.8,0.2,3.4,59.8,20.2,4.1,24.5,4.6,10.8,9.1,-8.6,QP031010,43.2,15.4,8.3,93.9,9.5,both,QP031010
QP031011,Les Izards - La Vache,76.0,243100518.0,,31701,9855.0,13185.0,18022.0,0.6,8048.0,9127.0,10759.0,12019.0,14847.0,16765.0,19408.0,23620.0,2.9,0.3,3.6,64.7,19.0,4.7,21.6,5.9,8.2,7.5,-10.0,QP031011,41.1,16.7,10.9,82.6,7.0,both,QP031011
QP031012,Cépière Beauregard,76.0,243100518.0,,31701,10468.0,13512.0,17180.0,0.5,8431.0,9604.0,11228.0,12315.0,14970.0,16192.0,18539.0,21825.0,2.6,0.2,3.2,55.7,23.6,4.1,25.2,6.1,10.7,8.3,-8.6,QP031012,36.5,17.7,10.5,,,both,QP031012
QP031013,Saint Exupéry,76.0,243100518.0,,31701,11797.0,14946.0,19263.0,0.5,9293.0,11002.0,12597.0,13592.0,16487.0,17896.0,20102.0,23119.0,2.5,0.2,2.8,72.0,17.7,2.7,17.9,4.6,6.7,6.7,-10.3,QP031013,27.3,24.8,6.3,,,both,QP031013
QP031014,Soupetard,76.0,243100518.0,,31701,10326.0,13984.0,18184.0,0.6,7673.0,9430.0,11209.0,12691.0,15505.0,17181.0,19351.0,23267.0,3.0,0.2,3.4,62.8,25.5,4.0,18.1,5.0,6.9,6.2,-10.4,QP031014,36.3,20.2,8.0,,,both,QP031014
QP031015,Rangueil,76.0,243100518.0,,31701,9773.0,13141.0,17988.0,0.6,7768.0,8814.0,10579.0,11858.0,14502.0,16768.0,18978.0,22821.0,2.9,0.3,4.1,65.2,21.6,5.8,18.8,5.1,6.6,7.1,-11.4,QP031015,40.7,,9.5,,,both,QP031015
QP031016,En Jacca,76.0,243100518.0,,31701,10240.0,13577.0,18573.0,0.6,8227.0,9507.0,10880.0,12419.0,15267.0,16993.0,19452.0,23803.0,2.9,0.2,3.2,66.4,18.0,3.7,21.0,5.2,8.7,7.1,-9.1,QP031016,37.5,24.2,,,,both,QP031016
QP031017,Vivier Maçon,76.0,243100518.0,,31701,10204.0,13743.0,17352.0,0.5,8292.0,9718.0,11320.0,12473.0,15494.0,16843.0,18817.0,20763.0,2.5,0.2,2.9,63.9,22.3,3.2,19.1,6.2,6.5,6.4,-8.5,QP031017,35.8,19.9,12.5,,,both,QP031017
QP031018,Négreneys,76.0,243100518.0,,31701,10329.0,13400.0,17710.0,0.6,7548.0,9529.0,10841.0,12087.0,14494.0,16449.0,19389.0,25000.0,3.3,0.3,4.0,61.7,21.9,6.9,19.7,2.4,9.4,7.9,-10.2,QP031018,40.2,,,,,both,QP031018
QP031019,La Gloire,76.0,243100518.0,,31701,11055.0,14090.0,19529.0,0.6,7818.0,10393.0,11816.0,12985.0,16231.0,18750.0,20468.0,23677.0,3.0,0.2,3.5,59.6,28.3,4.5,17.4,3.6,7.3,6.4,-9.8,QP031019,31.9,21.0,,77.4,,both,QP031019
QP032001,Grand Garros,76.0,243200540.0,,32401,8968.0,11939.0,15214.0,0.5,7196.0,8625.0,9447.0,10368.0,12909.0,14560.0,16002.0,18521.0,2.6,0.2,3.0,49.7,22.7,2.8,31.3,6.9,14.2,10.2,-6.5,QP032001,51.3,22.8,8.9,,11.5,both,QP032001
QP033001,Quartier Champ De Course,75.0,243300316.0,,33701,11056.0,13972.0,17244.0,0.4,8255.0,10502.0,11873.0,13102.0,15059.0,16379.0,18215.0,21111.0,2.6,0.2,2.8,67.8,17.4,2.2,21.3,6.2,7.8,7.3,-8.7,QP033001,31.1,32.0,10.1,,,both,QP033001
QP033002,Yser - Pont De Madame,75.0,243300316.0,,33701,11227.0,13999.0,17536.0,0.5,8533.0,10451.0,11676.0,12932.0,15447.0,16961.0,18478.0,20859.0,2.4,0.2,2.8,56.9,30.1,2.9,18.7,5.0,7.2,6.5,-8.6,QP033002,33.7,21.8,8.0,,,both,QP033002
QP033003,Quartier Du centre,75.0,200027068.0,,33302,10850.0,13953.0,17924.0,0.5,8463.0,9626.0,11324.0,12695.0,15026.0,16786.0,18804.0,21695.0,2.6,0.2,3.4,60.6,25.6,4.4,19.3,4.0,8.2,7.2,-9.9,QP033003,36.3,23.9,,,,both,QP033003
QP033004,Quartier Bourg,75.0,243301371.0,,00553,9362.0,13553.0,18904.0,0.7,7293.0,8850.0,10220.0,12152.0,15555.0,17440.0,20290.0,26551.0,3.6,0.3,4.7,43.5,41.9,8.9,16.2,3.0,7.5,5.7,-10.5,QP033004,39.5,12.4,5.0,69.8,,both,QP033004
QP033005,Quartier De L'Avenir,75.0,243300316.0,,33701,10773.0,14164.0,17404.0,0.5,8413.0,10010.0,11499.0,12618.0,15229.0,16686.0,18743.0,20664.0,2.5,0.2,2.7,69.2,17.0,2.1,20.0,5.9,6.8,7.2,-8.3,QP033005,34.1,19.1,12.6,,,both,QP033005
QP033006,Carle Vernet -Terres Neuves,75.0,243300316.0,,33701,11103.0,14523.0,18403.0,0.5,8838.0,10524.0,11631.0,12893.0,15843.0,17472.0,19828.0,22863.0,2.6,0.2,2.9,60.7,25.8,3.7,19.4,4.4,8.2,6.8,-9.6,QP033006,32.9,21.0,7.0,,,both,QP033006
QP033007,Le Lac,75.0,243300316.0,,33701,9421.0,12098.0,15046.0,0.5,7472.0,8859.0,9835.0,11041.0,13146.0,14304.0,16055.0,18604.0,2.5,0.2,2.8,60.6,12.6,1.9,31.6,9.9,12.4,9.3,-6.7,QP033007,50.0,21.0,19.3,,8.7,both,QP033007
QP033008,Saint-Michel,75.0,243300316.0,,33701,10301.0,14839.0,21132.0,0.7,6985.0,9307.0,11251.0,12996.0,16966.0,19527.0,23077.0,29774.0,4.3,0.3,5.3,80.8,12.3,7.2,14.2,1.5,6.6,6.1,-14.5,QP033008,34.7,8.7,5.0,84.3,8.5,both,QP033008
QP033009,Benauge - Henri Sellier - Léo Lagrange,75.0,243300316.0,,33701,9901.0,12760.0,16591.0,0.5,7555.0,9104.0,10528.0,11783.0,14118.0,15584.0,17811.0,21059.0,2.8,0.2,3.2,54.5,25.0,2.9,25.3,6.4,10.6,8.3,-7.7,QP033009,43.6,19.9,12.8,,7.9,both,QP033009
QP033010,Grand-Parc,75.0,243300316.0,,33701,11200.0,14696.0,19300.0,0.6,8620.0,10554.0,11981.0,13267.0,15998.0,17988.0,20768.0,25124.0,2.9,0.2,3.3,53.4,35.5,6.0,16.3,4.6,6.0,5.7,-11.2,QP033010,31.5,15.5,8.9,83.7,,both,QP033010
QP033011,Bacalan,75.0,243300316.0,,33701,10557.0,14186.0,19029.0,0.6,8302.0,9540.0,11399.0,12766.0,16349.0,18221.0,20087.0,23631.0,2.8,0.2,3.4,60.0,25.0,5.7,19.6,4.6,9.2,5.8,-10.3,QP033011,35.5,20.6,9.7,72.4,,both,QP033011
QP033012,Palmer - Saraillère - 8 Mai 45 - Dravemont,75.0,243300316.0,,33701,10268.0,13359.0,17063.0,0.5,7889.0,9499.0,10946.0,12272.0,14699.0,16202.0,18115.0,21024.0,2.7,0.2,3.1,57.8,24.7,3.7,22.4,5.9,8.8,7.6,-8.6,QP033012,38.9,19.9,11.9,89.5,8.5,both,QP033012
QP033013,Grand Caillou,75.0,243300316.0,,33701,10494.0,13657.0,17337.0,0.5,7925.0,9873.0,11290.0,12615.0,14937.0,16287.0,18390.0,21542.0,2.7,0.2,3.0,66.8,18.5,2.6,21.0,5.9,7.9,7.2,-8.9,QP033013,35.6,25.3,10.1,,,both,QP033013
QP033014,Jean-Jaurès,75.0,243300316.0,,33701,10873.0,13780.0,17846.0,0.5,8206.0,10243.0,11526.0,12613.0,15098.0,16812.0,18854.0,21732.0,2.6,0.2,3.0,61.9,24.0,3.4,19.7,5.0,7.8,7.0,-9.0,QP033014,35.5,20.5,8.4,,,both,QP033014
QP033015,Barthez,75.0,243300316.0,,33701,11041.0,13975.0,17350.0,0.5,9021.0,10186.0,11635.0,12878.0,15307.0,16621.0,18165.0,20790.0,2.3,0.2,2.6,63.7,20.6,2.6,21.7,5.7,8.1,7.9,-8.6,QP033015,33.8,27.9,,,,both,QP033015
QP033016,Carriet,75.0,243300316.0,,33701,10537.0,13431.0,17101.0,0.5,8069.0,9683.0,10982.0,12251.0,14860.0,16346.0,18147.0,20716.0,2.6,0.2,2.9,67.0,16.3,2.5,22.7,7.2,8.1,7.4,-8.5,QP033016,37.8,21.2,15.4,,7.7,both,QP033016
QP033017,Génicart Est,75.0,243300316.0,,33701,10539.0,13192.0,16986.0,0.5,7837.0,9771.0,11008.0,12145.0,14560.0,15927.0,17777.0,20552.0,2.6,0.2,2.9,66.4,14.3,2.2,24.9,6.6,9.8,8.5,-7.8,QP033017,39.7,19.1,13.3,92.4,8.7,both,QP033017
QP033018,Alpilles-Vincennes-Bois Fleuri,75.0,243300316.0,,33701,11252.0,14582.0,18511.0,0.5,8448.0,10583.0,11841.0,13173.0,15788.0,17495.0,19854.0,23209.0,2.7,0.2,3.1,54.7,33.9,4.9,16.4,4.0,6.7,5.8,-9.9,QP033018,32.1,17.5,7.6,78.1,5.9,both,QP033018
QP033019,Beaudésert,75.0,243300316.0,,33701,10754.0,14130.0,18788.0,0.6,8009.0,9603.0,11354.0,12785.0,15370.0,17537.0,20270.0,24543.0,3.1,0.2,3.6,73.8,14.7,4.4,17.8,6.0,5.8,5.9,-10.7,QP033019,34.7,,16.5,,,both,QP033019
QP033020,Châtaigneraie - Arago,75.0,243300316.0,,33701,10593.0,13717.0,17125.0,0.5,8187.0,9660.0,11314.0,12594.0,14737.0,16223.0,18206.0,20965.0,2.6,0.2,2.9,62.6,21.4,2.7,21.8,6.7,7.4,7.7,-8.5,QP033020,36.2,24.1,12.3,,8.0,both,QP033020
QP033021,Saige,75.0,243300316.0,,33701,10798.0,13768.0,17487.0,0.5,8263.0,10010.0,11421.0,12582.0,15149.0,16711.0,18622.0,21409.0,2.6,0.2,3.0,68.6,18.2,3.1,19.6,4.1,8.1,7.4,-9.5,QP033021,35.8,19.9,7.5,91.6,7.9,both,QP033021
QP033022,Thouars,75.0,243300316.0,,33701,10682.0,13683.0,17565.0,0.5,8169.0,9851.0,11338.0,12528.0,14935.0,16493.0,18838.0,21964.0,2.7,0.2,3.2,65.6,20.5,3.1,20.6,5.4,8.0,7.2,-9.8,QP033022,35.6,20.8,9.4,89.0,,both,QP033022
QP033023,Paty Monmousseau,75.0,243300316.0,,33701,11667.0,14920.0,19614.0,0.5,9240.0,11087.0,12234.0,13601.0,16383.0,17849.0,21109.0,25787.0,2.8,0.2,3.1,68.8,21.6,3.8,16.7,4.1,7.7,4.9,-10.9,QP033023,28.5,,9.8,,,both,QP033023
QP034001,Centre Ville,76.0,243400769.0,,34501,8281.0,11379.0,15799.0,0.7,5812.0,7720.0,8776.0,10015.0,12711.0,14561.0,17258.0,21919.0,3.8,0.3,5.0,48.9,29.1,6.9,25.7,4.9,12.2,8.6,-10.6,QP034001,55.0,15.3,7.2,76.6,9.1,both,QP034001
QP034002,Iranget Grangette,76.0,243400769.0,,34501,8758.0,11617.0,14619.0,0.5,7009.0,8259.0,9293.0,10532.0,12697.0,14007.0,15925.0,19228.0,2.7,0.2,3.2,45.3,32.0,2.5,26.9,7.2,10.3,9.3,-6.7,QP034002,54.2,19.2,11.7,,8.4,both,QP034002
QP034003,Devèze,76.0,243400769.0,,34501,8358.0,10942.0,13944.0,0.5,6242.0,7866.0,8811.0,9856.0,11904.0,13151.0,14788.0,17812.0,2.9,0.2,3.3,44.1,25.6,1.7,34.1,8.3,15.0,10.8,-5.5,QP034003,62.2,17.4,15.2,92.4,7.8,both,QP034003
QP034004,Celleneuve,76.0,243400017.0,,34701,10530.0,13899.0,18073.0,0.5,7930.0,9857.0,11135.0,12662.0,15475.0,17074.0,19279.0,22902.0,2.9,0.2,3.3,75.4,15.4,3.4,17.3,4.5,6.2,6.6,-11.5,QP034004,36.4,15.3,6.2,71.2,,both,QP034004
QP034005,Mosson,76.0,243400017.0,,34701,8807.0,11243.0,14240.0,0.5,6906.0,8299.0,9271.0,10178.0,12297.0,13510.0,15159.0,17935.0,2.6,0.2,3.0,50.8,19.6,2.0,33.7,10.9,12.3,10.6,-6.1,QP034005,58.4,17.7,24.5,84.5,9.8,both,QP034005
QP034006,Petit Bard Pergola,76.0,243400017.0,,34701,8600.0,11210.0,14576.0,0.5,6729.0,8125.0,9133.0,10280.0,12394.0,13572.0,15704.0,19415.0,2.9,0.2,3.5,52.3,24.2,3.3,28.0,7.4,11.3,9.2,-7.8,QP034006,57.8,12.0,17.3,83.4,10.5,both,QP034006
QP034007,Pas Du Loup - Val De Croze,76.0,243400017.0,,34701,9919.0,12632.0,16477.0,0.5,7905.0,9133.0,10493.0,11606.0,14129.0,15613.0,17405.0,20015.0,2.5,0.2,2.9,61.6,17.7,2.1,26.9,7.4,10.3,9.2,-8.3,QP034007,44.7,23.9,13.3,,8.6,both,QP034007
QP034008,Cévennes,76.0,243400017.0,,34701,9244.0,12577.0,17660.0,0.7,6770.0,8606.0,9817.0,11229.0,14063.0,16417.0,18935.0,23393.0,3.5,0.3,4.2,67.3,19.8,4.1,19.9,5.8,7.1,6.9,-11.1,QP034008,46.9,11.7,12.3,67.3,10.0,both,QP034008
QP034009,Gély,76.0,243400017.0,,34701,9140.0,11790.0,16658.0,0.6,7813.0,8710.0,9427.0,10430.0,13508.0,15696.0,18649.0,22318.0,2.9,0.3,3.7,44.8,21.8,3.8,38.0,6.8,20.3,10.9,-8.4,QP034009,52.0,30.8,,,,both,QP034009
QP034010,Figuerolles,76.0,243400017.0,,34701,9023.0,13413.0,21272.0,0.9,6525.0,8412.0,9916.0,11654.0,15969.0,19088.0,24278.0,30969.0,4.7,0.4,6.3,75.7,16.6,7.2,15.7,1.9,8.1,5.7,-15.2,QP034010,43.1,12.4,5.3,70.9,8.8,both,QP034010
QP034011,Lemasson,76.0,243400017.0,,34701,11073.0,13969.0,17823.0,0.5,8908.0,10410.0,11965.0,12926.0,15258.0,16648.0,18569.0,21413.0,2.4,0.2,2.6,54.9,30.4,1.9,20.8,5.9,7.5,7.4,-8.0,QP034011,32.2,27.9,8.8,,,both,QP034011
QP034012,Près D'Arènes,76.0,243400017.0,,34701,10545.0,13787.0,17806.0,0.5,8010.0,9901.0,11083.0,12316.0,15117.0,16697.0,18919.0,22217.0,2.8,0.2,3.2,70.0,17.6,3.4,19.5,6.2,6.5,6.7,-10.5,QP034012,38.9,21.3,10.2,77.6,6.8,both,QP034012
QP034013,Pompignane,76.0,243400017.0,,34701,10214.0,13368.0,17180.0,0.5,8449.0,9620.0,10851.0,12226.0,14959.0,16388.0,18192.0,20751.0,2.5,0.2,2.7,60.4,23.6,2.0,22.1,5.3,9.0,7.8,-8.1,QP034013,38.9,22.3,8.8,,,both,QP034013
QP034014,Aiguelongue,76.0,243400017.0,,34701,9579.0,12805.0,16966.0,0.6,7851.0,9167.0,10035.0,11520.0,14335.0,15886.0,18710.0,24647.0,3.1,0.3,3.9,59.0,21.9,5.4,25.0,5.9,11.2,8.0,-11.3,QP034014,43.1,18.5,10.9,,,both,QP034014
QP034015,Vert-Bois,76.0,243400017.0,,34701,9550.0,13519.0,17422.0,0.6,6444.0,8808.0,10503.0,12215.0,14919.0,16570.0,18392.0,22540.0,3.5,0.3,4.5,75.5,16.0,2.4,17.7,3.3,6.5,7.8,-11.6,QP034015,39.6,,,,,both,QP034015
QP034016,Les Deux Pins,76.0,243400827.0,,34502,9649.0,12644.0,15966.0,0.5,7994.0,9307.0,10443.0,11828.0,13833.0,15295.0,16686.0,20101.0,2.5,0.2,2.9,54.5,26.0,1.8,24.7,6.1,10.2,8.5,-7.0,QP034016,43.6,24.7,7.5,,,both,QP034016
QP034017,Ile De Thau,76.0,243400827.0,,34502,8675.0,11172.0,13876.0,0.5,6972.0,8166.0,9208.0,10114.0,12082.0,13172.0,14592.0,17139.0,2.5,0.2,2.7,44.6,21.8,1.4,37.2,10.8,15.3,11.1,-5.0,QP034017,60.5,22.4,20.4,,7.5,both,QP034017
QP034018,Centre Ville - Ile Sud,76.0,243400827.0,,34502,9789.0,13469.0,18417.0,0.6,7061.0,8812.0,10548.0,12052.0,15143.0,17012.0,20030.0,24634.0,3.5,0.3,4.2,53.7,33.3,6.3,17.5,3.2,8.3,6.0,-10.8,QP034018,40.3,16.6,5.0,64.0,8.6,both,QP034018
QP034019,Centre Ville,76.0,243400819.0,,34401,9137.0,12556.0,16990.0,0.6,6884.0,8427.0,9698.0,11198.0,14118.0,15915.0,18448.0,23031.0,3.3,0.3,4.2,48.9,31.9,8.1,21.7,4.2,10.0,7.5,-10.6,QP034019,45.9,18.5,5.0,67.3,9.6,both,QP034019
QP034020,Centre Ville,76.0,200042646.0,,34302,9882.0,13697.0,17945.0,0.6,7632.0,9371.0,10799.0,12133.0,15219.0,16937.0,19131.0,22972.0,3.0,0.3,3.6,46.3,37.6,6.2,19.6,3.6,9.6,6.5,-9.7,QP034020,39.9,16.3,5.0,64.7,,both,QP034020
QP034021,Centre Et Périphérie,76.0,243400520.0,,00463,9192.0,12566.0,16629.0,0.6,6626.0,8542.0,9917.0,11325.0,13979.0,15663.0,18058.0,21952.0,3.3,0.3,4.1,62.1,21.5,4.8,20.9,5.6,8.3,7.0,-9.3,QP034021,46.3,17.2,11.6,75.6,10.3,both,QP034021
QP034022,Centre Ville,76.0,200017341.0,,34214,9320.0,12669.0,16886.0,0.6,7212.0,8739.0,10048.0,11167.0,14130.0,15747.0,18067.0,21443.0,3.0,0.3,3.8,51.8,30.3,6.0,21.2,5.1,9.1,7.0,-9.3,QP034022,46.0,15.6,7.7,70.5,10.0,both,QP034022
QP035001,La Découverte,53.0,243500782.0,,35402,10249.0,13136.0,16838.0,0.5,8056.0,9492.0,11029.0,12137.0,14423.0,16011.0,17919.0,21188.0,2.6,0.2,3.1,49.2,31.0,4.5,23.5,4.8,10.7,8.0,-8.2,QP035001,39.6,19.7,5.6,88.6,9.1,both,QP035001
QP035002,Villejean,53.0,243500139.0,,35701,9914.0,13333.0,17735.0,0.6,7658.0,9245.0,10632.0,11923.0,14916.0,16589.0,19133.0,22595.0,3.0,0.2,3.5,56.1,27.4,5.1,21.3,6.6,7.5,7.2,-9.9,QP035002,41.6,15.8,12.1,84.4,7.7,both,QP035002
QP035003,Les Clôteaux - Champs Manceaux,53.0,243500139.0,,35701,10108.0,13460.0,17961.0,0.6,7791.0,9441.0,10877.0,12007.0,15159.0,16907.0,19002.0,22882.0,2.9,0.2,3.4,61.2,24.6,5.1,19.4,4.8,7.4,7.1,-10.3,QP035003,41.0,17.1,7.7,81.9,8.5,both,QP035003
QP035004,Maurepas,53.0,243500139.0,,35701,9091.0,12611.0,16579.0,0.6,6855.0,8588.0,9808.0,11331.0,14032.0,15711.0,17571.0,20479.0,3.0,0.2,3.6,51.9,24.8,4.6,27.1,4.7,13.3,9.2,-8.4,QP035004,45.4,17.2,6.4,95.0,8.2,both,QP035004
QP035005,Le Blosne,53.0,243500139.0,,35701,9731.0,12924.0,17371.0,0.6,7678.0,9146.0,10359.0,11680.0,14402.0,16319.0,18596.0,22056.0,2.9,0.2,3.3,57.1,26.0,4.4,22.1,6.6,8.2,7.3,-9.6,QP035005,43.3,16.0,12.3,78.9,7.9,both,QP035005
QP035006,Cleunay,53.0,243500139.0,,35701,9992.0,12976.0,16689.0,0.5,7904.0,9067.0,10590.0,11982.0,14371.0,15803.0,17704.0,20582.0,2.6,0.2,3.0,54.2,23.4,3.1,27.4,5.2,12.2,9.9,-8.1,QP035006,40.7,19.8,6.4,,,both,QP035006
QP035007,Bellevue,53.0,243500741.0,,00452,10331.0,13340.0,15996.0,0.4,8339.0,9746.0,10869.0,12391.0,14241.0,15715.0,16893.0,19732.0,2.4,0.2,2.8,46.6,31.2,4.1,25.3,5.4,11.6,8.2,-7.2,QP035007,38.3,,,,,both,QP035007
QP036001,Beaulieu,24.0,243600327.0,,36501,9810.0,12715.0,15769.0,0.5,7899.0,9169.0,10251.0,11536.0,13757.0,15303.0,16467.0,18917.0,2.4,0.2,2.7,55.5,26.0,2.1,23.6,3.7,10.6,9.4,-7.2,QP036001,44.9,18.1,,,,both,QP036001
QP036002,Saint Jean - Saint Jacques,24.0,243600327.0,,36501,9228.0,11909.0,15233.0,0.5,6994.0,8595.0,9729.0,10777.0,13037.0,14506.0,16240.0,19084.0,2.7,0.2,3.1,49.9,24.2,2.8,30.2,8.1,11.8,10.4,-7.1,QP036002,51.0,21.9,11.8,94.5,10.7,both,QP036002
QP036003,Vaugirard - Saint Christophe,24.0,243600327.0,,36501,10485.0,14160.0,18963.0,0.6,8307.0,9764.0,11456.0,12601.0,15635.0,17833.0,20380.0,23456.0,2.8,0.2,3.4,63.7,24.6,4.5,17.9,5.2,6.8,6.0,-10.7,QP036003,35.5,20.3,7.6,80.4,,both,QP036003
QP036004,Nation Bernardines,24.0,243600236.0,,36301,9665.0,13275.0,16741.0,0.5,7489.0,9207.0,10465.0,11694.0,14584.0,15883.0,17618.0,20960.0,2.8,0.2,3.2,55.2,26.4,4.3,22.4,5.1,9.4,7.9,-8.3,QP036004,44.0,20.7,,86.5,,both,QP036004
QP037001,La Verrerie,24.0,200043065.0,,37701,10842.0,13422.0,17518.0,0.5,8516.0,10246.0,11445.0,12493.0,14897.0,16485.0,18978.0,21517.0,2.5,0.2,2.7,69.2,16.3,2.1,21.0,7.5,6.7,6.8,-8.6,QP037001,34.7,,16.5,,,both,QP037001
QP037002,Rabière,24.0,243700754.0,,37701,9363.0,12514.0,16046.0,0.5,7636.0,8812.0,10070.0,11211.0,13780.0,15325.0,16940.0,19554.0,2.6,0.2,2.9,55.2,24.3,3.0,24.8,8.3,8.7,7.8,-7.3,QP037002,46.8,19.0,14.0,84.7,8.9,both,QP037002
